old_divcode,old_divisionname,new_divcode,new_divisionname,distcode,zonecode,divisionname_si,divisionname_ta,status
ED2414,SRIPADA DIVISIONAL EDUCATION OFFICE,59136,SRI PADA DIVISIONAL EDUCATION OFFICE,D24,ZN2401,,,1
ED0911,SURIYAWEWA DIVISIONAL EDUCATION OFFICE,53324,SOORIYAWEWA DIVISIONAL EDUCATION OFFICE,D09,ZN0902,,,1
ED0901,TANGALLE DIVISIONAL EDUCATION OFFICE,53328,TANGALLE DIVISIONAL EDUCATION OFFICE,D09,ZN0901,,,1
ED2007,THALAWA DIVISIONAL EDUCATION OFFICE,57141,THALAWA DIVISIONAL EDUCATION OFFICE,D20,ZN2002,,,1
ED2101,THAMANKADUWA DIVISIONAL EDUCATION OFFICE,57228,THAMANKADUWA DIVISIONAL EDUCATION OFFICE,D21,ZN2101,,,1
ED2006,THAMBUTTEGAMA DIVISIONAL EDUCATION OFFICE,57142,THAMBUTTEGAMA DIVISIONAL EDUCATION OFFICE,D20,ZN2002,,,1
ED1709,THAMPALAGAMUWA DIVISIONAL EDUCATION OFFICE,55332,THAMPALAKAMAM DIVISIONAL EDUCATION OFFICE,D17,ZN1701,,,1
ED2310,THANAMALVILA DIVISIONAL EDUCATION OFFICE,58229,THANAMALVILA DIVISIONAL EDUCATION OFFICE,D23,ZN2304,,,1
ED0714,THAWALAMA DIVISIONAL EDUCATION OFFICE,53134,THAWALAMA DIVISIONAL EDUCATION OFFICE,D07,ZN0705,,,1
ED1013,THELLIPPALAI DIVISIONAL EDUCATION OFFICE,54134,TELLIPALAI DIVISIONAL EDUCATION OFFICE,D10,ZN1004,,,1
ED0807,THIHAGODA DIVISIONAL EDUCATION OFFICE,53234,THIHAGODA DIVISIONAL EDUCATION OFFICE,D08,ZN0803,,,1
ED2013,THIRAPPANE DIVISIONAL EDUCATION OFFICE,57138,THIRAPPANE DIVISIONAL EDUCATION OFFICE,D20,ZN2003,,,1
ED1617,THIRUKKOVIL DIVISIONAL EDUCATION OFFICE,55241,THIRUKKOVIL DIVISIONAL EDUCATION OFFICE,D16,ZN1607,,,1
ED0907,THISSAMAHARAMA DIVISIONAL EDUCATION OFFICE,53325,THISSAMAHARAMA DIVISIONAL EDUCATION OFFICE,D09,ZN0902,,,1
ED1403,THUNUKKAI DIVISIONAL EDUCATION OFFICE,54426,THUNUKKAI DIVISIONAL EDUCATION OFFICE,D14,ZN1402,,,1
ED1701,TRINCOMALEE TOWN DIVISIONAL EDUCATION OFFICE,55333,TRINCOMALEE TOWN DIVISIONAL EDUCATION OFFICE,D17,ZN1701,,,1
ED0417,UDA DUMBARA DIVISIONAL EDUCATION OFFICE,52135,UDADUMBARA DIVISIONAL EDUCATION OFFICE,D04,ZN0405,,,1
ED0404,UDA PALATHA DIVISIONAL EDUCATION OFFICE,52125,UDAPALATHA DIVISIONAL EDUCATION OFFICE,D04,ZN0404,,,1
ED0605,UDAHEWAHETA DIVISIONAL EDUCATION OFFICE,52321,UDAHEWAHETA DIVISIONAL EDUCATION OFFICE,D06,ZN0605,,,1
ED1820,UDUBADDAWA DIVISIONAL EDUCATION OFFICE,56131,UDUBADDAWA DIVISIONAL EDUCATION OFFICE,D18,ZN1802,,,1
ED0713,UDUGAMA - YAKKALAMULLA DIVISIONAL EDUCATION OFFICE,53135,UDUGAMA DIVISIONAL EDUCATION OFFICE,D07,ZN0705,,,1
ED0405,UDUNUWARA DIVISIONAL EDUCATION OFFICE,52121,UDUNUWARA DIVISIONAL EDUCATION OFFICE,D04,ZN0403,,,1
ED1010,UDUVIL DIVISIONAL EDUCATION OFFICE,54135,UDUVIL DIVISIONAL EDUCATION OFFICE,D10,ZN1004,,,1
ED1602,UHANA DIVISIONAL EDUCATION OFFICE,55227,UHANA DIVISIONAL EDUCATION OFFICE,D16,ZN1601,,,1
ED0511,UKUWELA DIVISIONAL EDUCATION OFFICE,52226,UKUWELA DIVISIONAL EDUCATION OFFICE,D05,ZN0501,,,1
